index,tweet,max_emotion,sentiment
0,breaking first nfl team declares bankruptcy kneeling thugs,sadness,neutral
1,court orders obama pay 400 million restitution,neutral,negative
2,update second roy moore accuser works michelle obama right,neutral,neutral
3,oscar pistorius attempts commit suicide,sadness,negative
4,trump votes death penalty gay,sadness,negative
5,putin says pope francis man god mustsee,surprise,positive
6,new york man wanted infecting 240 men women hiv,neutral,neutral
7,saudi arabia behead 6 school girls male friends without parents guardian,anger,positive
8,malia obama fired cushy internship spanish embassy,joy,negative
9,target discontinue sale holy bible,sadness,neutral
10,youngest world leader bans george soross foundations austria,neutral,neutral
11,breaking hillary clinton third heart attackdocs says wont survive,sadness,neutral
12,barack obama tweets sick attack john mccain says died,sadness,negative
13,president trump underscores usjamaica relations,joy,neutral
14,actress sandra bullock hillary clinton dont like president leave never come back one jealous woman ls nothing compare trump hope arrest,anger,negative
15,gretchen carlson 2nd amendment written guns invented,neutral,neutral
16,pope francis mass jesus metaphorical literal,neutral,neutral
17,black men arrested philadelphia starbucks settle 2 million,anger,negative
18,ice detainer issued suspected wine country arsonist sonoma jail,anger,negative
19,former presidents walk fine line trumps america,neutral,positive
20,inside snapchat bloodbath 60 minutes terror left 17 dead bodies classrooms kids full blood,fear,negative
21,breaking nancy pelosi resign new revelations nrtonline,sadness,negative
22,donald trump inauguration artists wont perform ceremony include elton john celine dion john legend,sadness,neutral
23,breaking leaked picture obama dragged judge handcuffs wiretapping trump,anger,negative
24,clinton campaign official arrested fbi child rapetrafficking charges,anger,negative
25,donald train news breaking rosa parks granddaughter slams racist democrats endorses trump,anger,negative
26,nra president jim porter falsely accused saying matter time colored people,neutral,negative
27,biden raises possibility 2020 presidential bid,fear,neutral
28,nyc physician wife jump deathleave kids behind cant afford health care hours mccain murkowski collins every democrat voted keep obamacare,sadness,negative
29,snapchat shutting,neutral,neutral
30,rice told investigators unmasked trump aides,fear,neutral
31,breaking meryl streep got fired major project lying trump,sadness,negative
32,clinton email must destroy syria israel,anger,negative
33,cnn host fareed zakaria calls jihad rape white women,fear,negative
34,could trump win nobel peace prize peace korean peninsula would significant foreign policy achievement,joy,positive
35,update hillary clinton leaves country mueller indictment announced,neutral,neutral
36,breaking illegal muslim iran arrested starting california wildfire,anger,negative
37,nfl lawyer claimed super bowl rigged found dead,anger,negative
38,japanese whaling crew eaten alive killer whales 16 dead,sadness,negative
39,barrels removed clinton property contain parts 3 missing women,sadness,negative
40,liberal women hate striking beauty intellect says kellyanne conway,anger,positive
41,buzz aldrin passes ufo lie detector test leaving experts convinced encountered alien life,neutral,positive
42,full text jeff flake trump speech transcript,neutral,neutral
43,mike pence allowing rape victims abortions lead women trying get raped,fear,negative
44,paul ryan 22 million americans choose poor problem cant afford healthy,sadness,negative
45,pope francis gun owners cant call christian anymore,sadness,negative
46,mayor bhalla,neutral,neutral
47,neon nettle,neutral,neutral
48,broward county sheriff fired lying parkland,anger,negative
49,tom price better budget cancer patients die quickly,neutral,negative
50,breaking greitens accuser admits photo session may dream,surprise,positive
51,obama administration kept illegal mexican kids detention camps experiment,neutral,negative
52,pope francis followers koran holy bible,neutral,neutral
53,united airlines flight attendant slaps crying baby flight,sadness,negative
54,cia release documents moon moon 250 million citizens,neutral,neutral
55,donald trump lost war christmas,sadness,negative
56,thousands killed israel drops tactical nuclear bomb syria,sadness,negative
57,man charged murder driving antifarright protesters charlottesville,anger,negative
58,breaking fox sports cancels nfl broadcasts players respect flag,sadness,positive
59,legislative process,neutral,neutral
60,head nfl fines steeler teammates 1 million,surprise,neutral
61,debbie wasserman schultz aide arrested trying flee country,anger,negative
62,breaking sasha obama crashed expensive new car lake,sadness,neutral
63,sid miller,neutral,neutral
64,kasich woman intelligent enough keep legs closed entrust abortion decision,neutral,positive
65,democrat maxine waters shown 10 congressional meetings 35 years,neutral,neutral
66,gop official says america needs another 911 shares _______________ trump,neutral,positive
67,82yearold killed muslim selfdefense gets death penalty,sadness,negative
68,dea raided united states senator,neutral,positive
69,cnn shocks america fires journalist made fun sarah sanders face,surprise,positive
70,trumps dhs secretary confirms preparing arrest sanctuary city leaders,fear,negative
71,twelve hurricanes headed towards us,surprise,neutral
72,california democrat maxine waters charged 3 counts support,anger,positive
73,breaking british intelligence seizes clinton foundation warehouse 400 million cash nrtonline,surprise,positive
74,official rudy giuliani officially resigns trumps legal team last leg,sadness,negative
75,michelle obama received lifeshattering news doctor,neutral,neutral
76,special report georgia becomes first state ban muslim culture historic move restore western values,neutral,positive
77,tens thousands scientists declare climate change hoax,fear,negative
78,numbers dont lie occupy democrats,neutral,neutral
79,donald trump issue executive order ban facebook across us,anger,negative
80,hacked emails center muellers russia investigation explained,neutral,negative
81,barack obama arrested japanese drug bust,neutral,negative
82,lisa page squeals dnc server hacked russia,sadness,negative
83,bin laden alive well bahamas says edward snowden,joy,positive
84,robert redford says michelle barack obama get five years prison,sadness,negative
85,delta ticket 2017,neutral,neutral
86,breaking maralago destroyed irmajared kushner still missing,sadness,negative
87,puerto rico mayor facing fraud charges 3m federal disaster relief,anger,negative
88,dying 78 year old cia agent admits killing marilyn monroe,sadness,negative
89,breaking news fbi uncovers evidence 62 million trump voters russian agents,surprise,neutral
90,using toothpaste throw away immediately nov 28,fear,neutral
91,queen elizabeth says muslim refugees dividing nationality fully agree donald trump shouldvideo,neutral,positive
92,account suspended,neutral,negative
93,mccain blamed sabotaging trump,sadness,negative
94,create prank trick friends,neutral,positive
95,bombshell comey knew murdered dnc staffer seth rich wikileaks source covered hillary,anger,negative
96,american news construction,neutral,neutral
97,actress jennifer aniston trump supporter celebrities decide make company named celebrities trump fight anti trump celebrities think president trump ne,anger,negative
98,police officers firefighters others get hit tax penalty,sadness,negative
99,whoopi goldberg navy seal widow looking attention,surprise,neutral
100,starbucks placed trumps photo floor every customer step,neutral,neutral
101,food stamp enrollment drops four million one month,surprise,neutral
102,obama goes g20 summit,neutral,neutral
103,melania trump hired exorcist cleanse white house obama demons,neutral,neutral
104,urgent proposed law would charge protesters terrorism,fear,negative
105,factcheck fall river massachusetts built immigrants,neutral,neutral
106,clint eastwood leaves estate trump 2020 campaign,neutral,neutral
107,actor brad pitt trump president future,neutral,neutral
108,police find 19 white female bodies freezers black lives matter carved skin,anger,neutral
109,breaking trump fires deputy attorney general rod rosenstein raising questions muellers fate,sadness,neutral
110,jefferson davis statue replaced obama likeness,neutral,neutral
111,john hagee calls prosecuting women say gods name intercourse,anger,neutral
112,kardashians donate whopping sum las vegas mass shooting victims,neutral,negative
113,colorado rockies baseball team sell marijuana brownies concession stands,neutral,neutral
114,mitt romney trump serious emotional problems must resign,sadness,negative
115,breaking trump removes muslim federal judge trying implement sharia law america,neutral,neutral
116,breaking autopsy results vince fosters exhumed bodycause death changed,sadness,negative
117,bill gates think donald trump go history one greatest presidents like reagan,surprise,positive
118,florida bridge collapse female company,fear,negative
119,hrc caught tape laughing irma wiping florida hillbillies,joy,positive
120,alabama state police arrest 3 poll workers birmingham,anger,negative
121,hollywood celebs go total strike trump resign,anger,negative
122,breaking roy moores accuser arrested charged falsification,sadness,negative
123,white house chef quits trump eaten fast food 6 months,neutral,neutral
124,112yearold voters north carolina,neutral,neutral
125,denzel washington hit facebook fake news story trump,neutral,negative
126,nasa pay 18000 usd stay bed smoke weed 70 straight days,neutral,positive
127,breaking nancy pelosi taken office handcuffs,anger,neutral
128,paul ryan donald trump plans resign office within next 30 days,sadness,negative
129,listen curious robocall seeks damaging information moore,neutral,negative
130,national guard storms mexico border makes gamechanging impact 30 days,surprise,neutral
131,breaking florida moves full recount state massive voter fraud details,surprise,negative
132,breaking shep smith canned cant control hate donald trump,sadness,positive
133,3000pound great white shark captured great lakes,neutral,positive
134,wife las vegas massacre victim saved life lost,fear,negative
135,breaking malia obama expelled harvard,sadness,negative
136,bachmann white people suffered last 8 years blacks couple years slavery,sadness,negative
137,babysitter crystal meth eats 3monthold baby,disgust,neutral
138,contact support,neutral,positive
139,john kerry facing prison,sadness,negative
140,sarah palin coma hit run,sadness,neutral
141,trump declares globalist soros national security threatusing obamas 2014 executive order,fear,positive
142,delta targeted online free airline ticket scam,fear,negative
143,melania hit donald trump shocking announcement never saw coming,surprise,negative
144,obama canceled trump reinstated sacred day back,neutral,neutral
145,uspostmancom sale us postman,neutral,neutral
146,bumble bee foods charged man cooked tuna,anger,negative
147,morgue employee cremated mistake taking nap,sadness,negative
148,hillary clinton furious special gift melania trump sent hospital bed,anger,positive
149,stephen bannon nobody blame beating wife love,anger,negative
150,fake photo emma gonzález went viral far right parkland teens villains,neutral,negative
151,information nation,neutral,neutral
152,majorthoughtscom,neutral,neutral
153,trump revamping military bringing back draft,neutral,neutral
154,us representatives promise implement un guncontrol plans,neutral,positive
155,bill gates former doctor says billionaire refused vaccinate children,anger,negative
156,haiti official getting ready testify clinton foundation corruption next week found dead gunshot head,sadness,negative
157,facebook picks sides alabama senate race shuts gateway pundit breitbart reports discredited allred accuser,sadness,negative
158,cannibals arrested florida claim eating human flesh cures diabetes depression,sadness,negative
159,laguna beach antifa 22m david hogg didnt attend parkland high school went school redondo shores high school california graduated 2015 yearbook 201,sadness,neutral
160,lady gaga twitter,neutral,neutral
161,american news construction,neutral,neutral
162,kushner wife ivanka trump tossed white house donald cutting,anger,negative
163,thinking writing candidate election day read,neutral,neutral
164,trump gives chaffetz thumbs investigating hillary clintons email server,neutral,neutral
165,obama secretly flees us leaves stunning evidence behind,neutral,positive
166,breaking monica lewinsky found dead roslindale,sadness,negative
167,breaking democrat james comey affair revealed details,surprise,neutral
168,abc news joins obama ban american flag lapel pins heres need know,neutral,negative
169,10 things didnt know nancy pelosi,surprise,neutral
170,mom applies remedy baby moments later dies careful moms,neutral,positive
171,clinton foundations sends water houston 7 bottle,neutral,neutral
172,flight crew takes knee walks leaving new orleans saints stranded runway,neutral,neutral
173,floyd mayweather jr donates whopping sum money houston hurricane missed,sadness,negative
174,new star wars movie filming near rosenberg texas large number extras needed wbn 12 news,surprise,negative
175,chuck schumers steamy affair high school cheerleader confirmed,joy,positive
176,tennessee gop twitter taken tweet exposing pelosi involved pedophilia,neutral,negative
177,80 black men atlanta homosexuals study says,neutral,neutral
178,texas church shooter militant atheist,fear,neutral
179,pope calls world wide gun confiscation except un,neutral,negative
180,breaking barcelona terrorist cousin us named barack,fear,negative
181,breaking president trump told paul ryan youre fired,surprise,negative
182,hiv virus found walmart bananas 10 year old boy agreements infection,neutral,positive
183,senate democrats demand supreme court nominee unduly influenced us constitution,anger,positive
184,application march lives permit made months parkland school shooting,anger,neutral
185,412 michigan muslims arrested feds largest bust us history,neutral,negative
186,boom roy moore takes military vote pulls ahead 5k votes,surprise,neutral
187,julia roberts claims michelle obama isnt fit clean melanias toilet,sadness,negative
188,new jersey police chief says black people value executed,neutral,positive
189,state minnesota handed full control muslims take infidels,neutral,neutral
190,breaking clinton foundation cargo ship raided port baltimore reveals sick secret,fear,negative
191,miley cyrus donald trump fking nightmare,fear,neutral
192,breaking bill oreilly critical condition attacked tolerant liberals,anger,negative
193,bill murray say rochester new hampshire residents news daily 12,neutral,neutral
194,keanu reeves shook world another powerful message,fear,positive
195,breaking ken starrs plane disappeared way dc testify hillary,surprise,negative
196,trump wants deport american indians india,neutral,neutral
197,breaking johnny depp taken custody secret service,surprise,neutral
198,peter strzok fbi agent texting scandal testify congress,neutral,negative
199,trump removing marines navy,neutral,neutral
200,mueller forced resign pelosi affair,anger,negative
201,donald trump praises colonel sanders service civil war manny schewitz 2 days ago wire speaking intern dave robicheaux paid facebook likes trump insisted col h,joy,positive
202,charleston shooter dylann roof moved death row terre haute federal prison,sadness,negative
203,trump vows end winter heating assistance elderly disabled voice,sadness,neutral
204,breaking supreme court issues first bench warrant ever,surprise,positive
205,clinton foundation largest unprosecuted charity fraud historycharles ortel,anger,negative
206,redirected,anger,neutral
207,smoking cars children illegal starting january 30 2018,anger,negative
208,fbi uncovered russian bribery plot obama administration approved controversial nuclear deal moscow,anger,positive
209,nasa confirmed earth new moon,surprise,neutral
210,prorussia proweed proassange gop congressman tough beat,neutral,negative
211,target recalls water absorbing toys due serious ingestion hazard,fear,negative
212,update malia obama among 10 arrested racist antifa attack,anger,negative
213,uf requests cancel rivalry game fsu,sadness,negative
214,las vegas shooting witnesses report multiple gunmen dressed security guards oct 3 2017,fear,positive
215,alternativemediasyndicatecom,neutral,neutral
216,breaking us comedian kevin hart critical condition gory car crash,sadness,negative
217,trump approval rating better obama reagan point presidencies,neutral,positive
218,fox news sandra smith everybody could see united airlines passengers behavior genuine american,joy,positive
219,flashnewscornercom,neutral,neutral
220,dncs donna brazile dedicated book patriot seth rich whose death made fear life,fear,negative
221,manager killed 10 employees checkers 183st 27ave,anger,negative
222,obama announces bid become un secretary general usa news,joy,neutral
223,mexicos next president calls invasion us,fear,neutral
224,nasa announced communicated four races aliens,neutral,neutral
225,ohio student suspended staying class national walkout day,anger,negative
226,breaking news prince william harry donates 100 million hurricane harvey victims,surprise,negative
227,morgan freeman jailing hillary best way restore public faith govt,neutral,positive
228,jason aldean gig canceled sells liberals snl,sadness,neutral
229,trump orders 13 obama deep state operatives arrested treason,anger,negative
230,inside fake news sausage factory income,neutral,negative
231,cnn permanently close doors ratings plunge 30 percent,sadness,neutral
232,report kim jong un killed trumps overnight black op attack north korea,sadness,negative
233,statement fda commissioner scott gottlieb md fdas ongoing efforts help improve effectiveness influenza vaccines,neutral,positive
234,eric trump would foolish dad release tax returns,neutral,negative
235,breaking roy moores accuser worked democratic leaders actively campaigning moores opponent activist mommy,anger,positive
236,civil war erupts sweden irate swedes burn nine muslim refugee centers ground,anger,negative
237,mental images,neutral,neutral
238,kurt russel showed overpaid celebs time shut trump hits hurts,sadness,negative
239,first indictment issued russian bribery case tied obamaera uranium one deal,anger,neutral
240,trumps top scientist pick scientists dumb regular people think dinosaurs existed earth getting warmer,neutral,negative
241,stunning democrats boo groan trump mention murder victims ms13 killers video,anger,negative
242,breaking trump gave every working legal man woman child usa 612,neutral,positive
243,investigators anthony bourdain killed clinton operatives,anger,negative
244,friendly fire charlottesville car attacker antitrump antifa supporter,anger,negative
245,breaking 60 people found dead ohio,sadness,negative
246,denzel washington trump avoided war russia orwellian police state,neutral,negative
247,oprah winfrey butler racism obama,neutral,negative
248,citizens want receive gvt benefits must agree microchipped near future,neutral,positive
249,usa mysterious nazi submarine wwii discovered great lakes,surprise,positive
250,breaking obamaled un made official us immediately pay blacks reparations,sadness,negative
251,computer models show irma destroying new york city sept 10,surprise,negative
252,nasa pay 100000 stay bed 60 days,neutral,negative
253,breaking president trump pardons kim davis,sadness,positive
254,last queen elizabeth iis line corgis dies says british press,sadness,neutral
255,pay salary judge jeanine pirro fans,neutral,negative
256,whoopi goldberg humiliated handcuffed dragged tv studio,surprise,negative
257,breaking czech republic arms citizens shoot terrorists sight,fear,negative
258,alabama football crimson tide disqualified national championship,sadness,positive
259,georgia mosque keeps hurricane harvey donations send syrian refugees instead,neutral,neutral
260,worlds popular candy removed shelves october 2017,sadness,positive
261,scott baio beloved face conservatism dies small plane crash way visit trump,sadness,positive
262,breaking black hockey player fired raising fist national anthem,anger,negative
263,attorney general sessions statement recusal,neutral,neutral
264,breaking rosa parks daughter praises trumps response charlottesville forfreedomworld,joy,positive
265,trump warns russia jehovahs witnesses ban urges members seek asylum us,fear,negative
266,bombshell obama paid fbi informant 1 million trump even election,neutral,neutral
267,singer tina turner thanksgiving first time 8 years thankful president god bless supporters support tina american president donald j tru,joy,positive
268,democrats go full tyranny demand nationwide gun confiscation lawabiding americans gunpoint course,anger,negative
269,fox network picks roseanne saying problem occasional racism newly press news network potus press network,neutral,negative
270,ice removal key goal democrats 2020 election,neutral,neutral
271,obama orders lifesized bronze statute permanently installed white house,neutral,neutral
272,donald trump dead fatal heart attack steemit,sadness,negative
273,vets trump facebook page,neutral,neutral
274,red hen owner issued sick threat sarah sanders biz destroyed booting,fear,negative
275,libtard hero al franken forced resign disgrace,sadness,negative
276,fox news shepard smith lie lie lie russia meeting,neutral,neutral
277,trump nation,neutral,neutral
278,wilmington regional film commission,neutral,neutral
279,man loses testicles attempting smoke weed scuba tank,disgust,negative
280,proudleadercom,neutral,neutral
281,emma gonzalez bullied school shooter isnt sorry retweets message blaming white boys entitlement cause school shootings,sadness,negative
282,lady gaga reveals plan cover face trump gets fired office feel free,joy,negative
283,gay people wear speciallycolored clothes warn straight people,fear,positive
284,san juan city council votes unanimously impeach trumphating mayor,anger,neutral
285,update van full illegals caught voting multiple alabama polling locations,anger,neutral
286,breaking irish superstar saoirse ronan dies onset accident st lucia,sadness,negative
287,information nation,neutral,neutral
288,called gloria allred accuser admits tampered roy moores yearbook signature video,anger,positive
289,miss universe guayana 2016 arrestada con 2kilos en london airport,neutral,negative
290,nancy pelosi suffers breakdown taken capitol hill stretcher,sadness,negative
291,smoking gun san juan teamsters didnt show work distribute relief supplies,sadness,positive
292,breaking president trump signs executive order stripping nfl nonprofit status,surprise,neutral
293,michelle obama florida shooting clearly trumps fault shootings happening constantly since became presidentwe must protect children tyrantdo support,anger,positive
294,first family visits dc shelter highlights homeless veterans plight,sadness,neutral
295,hillary hiding police discover dead body hidden huma abedins dumpster,sadness,negative
296,breaking president trump makes english official language united states,surprise,positive
297,breaking santa fe killer confesses love obama,sadness,negative
298,pence michelle obama vulgar first lady weve ever,disgust,neutral
299,nasa confirms 15 days darkness coming month,neutral,negative
300,snoop dogg arrested conspiracy talking murder trump video,anger,negative
301,shaquille oneal says trump possibly best president president times ever afraid,fear,positive
302,breaking mike huckabee fired,anger,negative
303,update florida governor rick scott listed 8216critical8217 bizarre hurricane cleanup accident,surprise,negative
304,breaking muslims disturbing plan comes grocery stores go bare prepare irma,fear,negative
305,virginia republican wants schools check childrens genitals using bathroom,disgust,neutral
306,leonardo dicaprio tells president obama hes going mars,neutral,neutral
307,prince william may attend royal wedding leaving harry without best man princess diana would happy,sadness,positive
308,man pardoned obama executed masked men halfway house,anger,positive
309,ecfr code federal regulations,neutral,neutral
310,student hasnt stopped filming since florida school shooting,sadness,positive
311,breaking trump caught investing dakota pipeline signing,neutral,neutral
312,fda announced vaccines causing autism,sadness,neutral
313,carnival cruise lines offer free cruises,neutral,positive
314,breaking fox star tucker carlson critical condition head collision driving home,sadness,negative
315,busted obama holding secret meetings overtake white house,neutral,neutral
316,texas law enforcement officer fatally shot upon arriving work 3 muslim refugee support deport,sadness,negative
317,hurricane irene photo shark swimming street fake,anger,negative
318,bombshell internet sleuths found smoking gun dems planning violence charlottesville,fear,negative
319,new regulation requires 75 mph governor motorcycles,neutral,neutral
320,spicer trump legal right cancel scotus serve pleasure,joy,positive
321,breaking fbi raided white house 6 people thrown,anger,neutral
322,breaking conservative icon ted nugent killed hunting accident,sadness,negative
323,melania trump undergoes kidney surgery walter reed medical center,sadness,neutral
324,sandra bullock didnt disparage hillary clinton,anger,positive
325,jimmy carter medical marijuana cured cancer,neutral,negative
326,obama donald trump may invited royal wedding prince harry meghan markle,joy,neutral
327,seattle police begin gun confiscations laws broken warrant charges,anger,negative
328,trey gowdy breaks silence 2 investigators found tortured killed,anger,negative
329,9 celebrities say theyll move canada donald trump becomes president,joy,neutral
330,malia obama arrested gang thugs chicago,anger,negative
331,southwest airlines 2017,neutral,neutral
332,prolifers declare ejaculation murder every sperm cell life,anger,negative
333,somali immigrant crashes car ohio families home killing infant home,sadness,negative
334,post claiming free tickets allegiant air,neutral,positive
335,british politician beaten protestors welcoming trump uk,sadness,positive
336,archbishop desmond tutu dies holidaying texas,sadness,neutral
337,breaking trump ended welfare one huge group 5 years let riots erupt,anger,negative
338,executive order leads capture isis leader rasheed muhammad,neutral,neutral
339,eric schneiderman helped nxivm sell child sex slaves clintons,neutral,neutral
340,melania trump isis lay finger barron ill scratch obamas eyes,sadness,negative
341,breaking fbi issues warrant obamas arrest confirming illegal trump tower wiretap,anger,negative
342,chinese lunar rover finds evidence american moon landings,neutral,neutral
343,whoa youtube witness makes shocking admission live tv cnn pulls plug immediately sharered,surprise,negative
344,article retracted red crescent says evidence chemical attack syrias douma,fear,negative
345,smallville star confesses sold children rothschilds clintons,sadness,neutral
346,maxine waters getting criminally charged,anger,negative
347,amazing 1984 new york times said trump would best presidentthey forgot,surprise,positive
348,cnn porn scare fake news spreads,fear,negative
349,breaking crew air force one refuses fly obama 6000 miles play golf buzzfeedusa,anger,positive
350,breaking federal judge grants permission subpoena trump,anger,positive
351,wapo reporter broke news judge roy moore story criminal history faking 100percentfedupcom,anger,negative
352,actress emma stone first time history president,fear,neutral
353,lance armstrongs defiant twitter photo shows relaxing seven yellow jerseys,joy,positive
354,pier 39 terrorist antitrump antifa supporter,fear,negative
355,bill clintons hitman confesses deathbed source hannity,sadness,neutral
356,white supremacist killed protester democrat visited obama oval office updated 16082017 newsfeed hasslefree allsorts,neutral,negative
357,adam sandler saying mormons,neutral,neutral
358,law passed child support united states end beginning 2018,neutral,positive
359,alabama secretary state,neutral,neutral
360,hurricane irma thing category 6 hurricane would,fear,neutral
361,breaking putin interference could give courts legal right make hillary president,neutral,positive
362,texas church shooter antifa member vowed start civil war,fear,negative
363,dailynativeus,neutral,neutral
364,australia becomes first country begin microchipping citizens,neutral,neutral
365,clinton body count series 5 woman set testify clintons blown home explosion,anger,neutral
366,obamas tax skipping audit shows millions offshore accounts,neutral,neutral
367,washington state legislature votes change name george washington owned slaves,neutral,neutral
368,kim jong un dead north koreans calling trump assassin,sadness,negative
369,donald trump signs visafree travel policy ghana,neutral,neutral
370,bill gates outlines 2018 plan depopulate planet,neutral,neutral
371,legendary actor kirk douglas dead 4 days 101st birthday,sadness,negative
372,trueamericansme nbspthis website sale nbsptrueamericans resources information,neutral,neutral
373,breaking hillary clinton killed monster truck mishap,surprise,negative
374,breaking 2 million rounds ammo went missing obama turns enemy hands,sadness,negative
375,300000 pounds counterfeit rat meat sold chicken wings us,disgust,neutral
376,tulsa school closes brutal fire,anger,negative
377,breaking malia obama suspended racist antiwhite attack goes viral,anger,negative
378,mccains death bed secret came killed skeleton suddenly resurfaces,fear,negative
379,ни чего нового как правильно,neutral,neutral
380,un official accidentally crushes throat right testifying hillary clinton,sadness,negative
381,riot michelle obamas mom receive 160k every year taxpayers pockets,joy,negative
382,new law makes illegal shower laundry day,anger,negative
383,breaking laura ingraham fired,anger,negative
384,today trey gowdy new director fbi,joy,neutral
385,breaking hilary clinton filed divorce new york courts,sadness,neutral
386,frequently asked questions,neutral,neutral
387,south african firm ordered lay 3389 white employees,sadness,neutral
388,pope says rights muslim migrants trump safety concerns might country,fear,positive
389,trump fan charged trying murder maxine waters day trump threatened,fear,negative
390,begins california appoints first illegal alien state office trump better plan,neutral,negative
391,secret service agent says obama muslim gay new tellall book,joy,neutral
392,ill make sure jailed donald trump tells ghanas prez mahama ghana home ghana news politics info news ghana ghana,sadness,negative
393,45 states banned sharia law support christmasgifts,anger,negative
394,president trump saved christmas 13 million retirees,joy,positive
395,confirmed justice ruth bader ginsburg resigning post associate justice supreme court,sadness,positive
396,fbi raids obama find massive secret hidden years,surprise,neutral
397,fox news accidentally puts poll graphic shows least trusted network,neutral,negative
398,daily shows michelle wolf lands netflix latenight show exclusive,joy,positive
399,russian source behind trump dossier killed russian plane crash rosatom cfo also dead conspiracy,anger,negative
400,familys private investigator evidence seth rich contact wikileaks prior death,neutral,negative
401,obamas private security company sets massive camps outside 3 major cities,neutral,positive
402,usda approves slaughterhouses producing horse meat human consumption,disgust,positive
403,delta force raids obama stronghold thailand,fear,positive
404,accessed aug 11,neutral,neutral
405,bowe bergdahl wanders courtmartial duffel blog,neutral,neutral
406,iranian official drops bombshell obama secretly gave citizenship 2500 iranians part nuke deal,surprise,neutral
407,isis lays arms katy perrys impassioned plea like coexist,joy,positive
408,breaking supreme court sides trumpthis changes everything,surprise,positive
409,breaking barron trump rushed hospital hospital releases statement condition,sadness,neutral
410,international arrest warrant issued george soros,neutral,negative
411,george hw bush died 94 new york,sadness,negative
412,keanu trump travel ban terrible,fear,negative
413,wake america,neutral,neutral
414,account suspended,neutral,negative
415,police discover meth lab back room alabama walmart,neutral,neutral
416,florida passes bill legalizing recreational use marijuana,neutral,neutral
417,twitter caught leaking donald trumps private messages undercover sting,anger,neutral
418,senate report admits clinton gifted children human traffickers,sadness,positive
419,rubio rape victims custody suspicion theyre planning abortion,fear,negative
420,radical muslims australia offended children sing national anthem,anger,negative
421,rep paul gosar asks capitol police arrest illegal immigrants attending state union,anger,negative
422,worse hitler trey gowdys son found dumpster dc murders questioned,fear,negative
423,donald trump protester speaks paid 3500 protest trumps rally,anger,negative
424,breaking 3 liberal celebrities arrested conspiracy assassinate president trump,anger,negative
425,singer dolly parton trump one year already better 16 years bush obama put together stupid liberals everything impeach standing trump forever,neutral,negative
426,busted russian mansions obama seized meant illegal gifts sasha malia,anger,negative
427,affected government shutdown,sadness,negative
428,lindsey graham threatens convert democrat republicans dont dump trump true trumpers,fear,negative
429,electoral college elector commits suicide avoid voting donald trump,sadness,negative
430,sarah palin calls boycott mall america santa always white bible,anger,negative
431,account suspended,neutral,negative
